EDILSON,252,124272
ELIZABETE,253,123879
ADEMIR,254,123618
ANGELICA,255,123609
ADAO,256,122274
BRENDA,257,121251
EVANDRO,258,121093
VERONICA,259,119827
CESAR,260,118934
KARINA,261,117880
ROSILENE,262,117788
NAIR,263,116661
VALMIR,264,116623
MURILO,265,115785
JULIANO,266,115736
NEUSA,267,115072
MARGARIDA,268,115031
NEUZA,269,114803
EDVALDO,270,114631
NEIDE,271,113728
AILTON,272,113702
RAISSA,273,113640
JUNIOR,274,112652
MAIARA,275,112610
BRENO,276,112597
NICOLAS,277,112589
FRANCIELE,278,112501
LORENA,279,112310
SAMARA,280,110523
RUAN,281,109537
LILIAN,282,109075
JANETE,283,108731
CICERA,284,108658
ALBERTO,285,108359
GIOVANA,286,107324
SEVERINA,287,106391
CLEIDE,288,106373
LARA,289,106106
NICOLE,290,105818
RUBENS,291,105702
AUGUSTO,292,105177
NILTON,293,105128
CECILIA,294,104497
YASMIN,295,104252
CONCEICAO,296,104122
CLEBER,297,103401
OSMAR,298,103032
INGRID,299,102959
SELMA,300,102364
LEILA,301,102166
RAIANE,302,102020
NILSON,303,101796
ORLANDO,304,101455
HUGO,305,101231
OTAVIO,306,100541
ESTER,307,100378
VINICIOS,308,97990
REGIANE,309,96826
ITALO,310,96817
MARISA,311,96220
EUNICE,312,95958
WILIAN,313,95889
KELLY,314,95553
TAINARA,315,95361
ALISSON,316,95080
IARA,317,94727
APARECIDO,318,94436
ISRAEL,319,94325
JOELMA,320,93869
MARINALVA,321,93627
EDMILSON,322,93514
TERESINHA,323,92667
REBECA,324,92452
GERALDA,325,92288
JOSUE,326,91762
CLEONICE,327,91089
IRACI,328,90802
ALEXANDRA,329,90467
JENIFER,330,89481
MARA,331,88918
ELIZANGELA,332,88732
LILIANE,333,88309
LIDIA,334,88259
IRACEMA,335,88145
LIDIANE,336,87224
MARILIA,337,87004
GERSON,338,86856
SHEILA,339,86161
CAUA,340,85677
NAIARA,341,85616
INES,342,85586
SIDNEI,343,85455
POLIANA,344,84552
DALVA,345,83815
LURDES,346,83562
EMANUEL,347,83281
TERESA,348,83248
ZILDA,349,83135
VALDECI,350,83124
LUCILENE,351,83049
CLARA,352,82936
